date,time,direction,entry_price,stop_loss,take_profit,exit_price,pnl,result,balance
2026-03-12,09:05,short,24835.2,24835.2,24795.2,24795.2,223.45,WIN,7961.88
2026-03-12,09:35,short,24811.55,24811.55,24771.55,24771.55,229.9,WIN,8191.78
2026-03-12,09:45,short,24736.45,24756.45,24696.45,24756.45,-132.09,LOSS,8059.69
2026-03-12,10:50,short,24627.95,24627.95,24587.95,24587.95,232.72,WIN,8292.41
2026-03-13,09:05,long,24657.9,24657.9,24697.9,24657.9,-9.33,BREAKEVEN,8283.08
2026-03-13,09:30,long,24661.95,24641.95,24701.95,24641.95,-133.56,LOSS,8149.52
2026-03-13,09:40,long,24771.05,24771.05,24811.05,24771.05,-9.17,BREAKEVEN,8140.35
2026-03-13,10:30,long,24687.4,24667.4,24727.4,24667.4,-131.26,LOSS,8009.09
2026-03-13,12:40,short,24426.3,24426.3,24386.3,24426.3,-9.01,BREAKEVEN,8000.08
2026-03-13,12:55,short,24395.05,24415.05,24355.05,24395.05,-9.0,FORCED_CLOSE,7991.08
2026-03-16,09:35,long,24694.95,24694.95,24734.95,24734.95,230.74,WIN,8221.82
2026-03-16,11:20,long,24737.0,24717.0,24777.0,24717.0,-132.58,LOSS,8089.24
2026-03-17,10:20,long,24852.75,24832.75,24892.75,24832.75,-130.44,LOSS,7958.8
2026-03-17,11:15,long,24836.5,24816.5,24876.5,24816.5,-128.34,LOSS,7830.47
2026-03-18,09:40,short,24746.85,24766.85,24706.85,24766.85,-126.27,LOSS,7704.2
2026-03-18,09:50,short,24734.55,24754.55,24694.55,24754.55,-124.23,LOSS,7579.97
2026-03-18,10:00,short,24733.15,24753.15,24693.15,24753.15,-122.23,LOSS,7457.74
2026-03-18,10:10,short,24687.0,24707.0,24647.0,24707.0,-120.26,LOSS,7337.49
2026-03-18,11:15,short,24673.3,24693.3,24633.3,24693.3,-118.32,LOSS,7219.17
2026-03-18,11:40,short,24691.3,24711.3,24651.3,24711.3,-116.41,LOSS,7102.76
2026-03-18,12:00,short,24688.8,24688.8,24648.8,24688.8,-7.99,BREAKEVEN,7094.77
2026-03-18,12:30,short,24650.3,24650.3,24610.3,24650.3,-7.98,BREAKEVEN,7086.79
2026-03-19,09:20,short,24246.5,24246.5,24206.5,24206.5,204.63,WIN,7291.42
2026-03-19,10:25,short,24231.65,24251.65,24191.65,24251.65,-117.57,LOSS,7173.85
2026-03-19,12:15,short,24262.65,24262.65,24222.65,24262.65,-8.07,BREAKEVEN,7165.78
2026-03-19,12:30,short,24266.15,24286.15,24226.15,24286.15,-115.55,LOSS,7050.23
2026-03-19,12:55,short,24261.9,24281.9,24221.9,24261.9,-7.93,FORCED_CLOSE,7042.3
2026-03-20,09:35,short,24194.1,24214.1,24154.1,24214.1,-113.56,LOSS,6928.74
2026-03-20,09:50,short,24169.35,24169.35,24129.35,24129.35,200.07,WIN,7128.81
